Class Name,Season,Section,Class Number,Meeting Time,Location,Instructor,Insutructor Url,Syllabus Url
ECT 586,Winter 2014-2015,Section:801,Class number:20063,Meeting time:M5:45PM-9:00PM,Location:LEWIS 01005atLoop Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20063&fid=760095
ECT 586,Winter 2014-2015,Section:810,Class number:20064,Meeting time:-,Location:N/AatOnline Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20064&fid=760095
ECT 586,Winter 2013-2014,Section:801,Class number:20067,Meeting time:W5:45PM-9:00PM,Location:LEWIS 01207atLoop Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20142&ClassNbr=20067&fid=760095
ECT 586,Winter 2013-2014,Section:810,Class number:20068,Meeting time:-,Location:N/AatOnline Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20142&ClassNbr=20068&fid=760095
ECT 586,Winter 2012-2013,Section:801,Class number:24069,Meeting time:W5:45PM-9:00PM,Location:LEWIS 01207atLoop Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=24069&fid=760095
ECT 586,Winter 2012-2013,Section:810,Class number:24070,Meeting time:-,Location:N/AatOnline Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=24070&fid=760095
ECT 586,Winter 2011-2012,Section:801,Class number:25545,Meeting time:W5:45PM-9:00PM,Location:CDM 00202atLoop Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=25545&fid=760095
ECT 586,Winter 2011-2012,Section:810,Class number:25546,Meeting time:-,Location:N/AatOnline Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=25546&fid=760095
ECT 586,Winter 2010-2011,Section:801,Class number:23634,Meeting time:W5:45PM-9:00PM,Location:CDM 00230atLoop Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20112&ClassNbr=23634&fid=760095
ECT 586,Winter 2010-2011,Section:810,Class number:23912,Meeting time:-,Location:N/AatOnline Campus,Javaid Iqbal,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=975,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20112&ClassNbr=23912&fid=760095
ECT 587,Winter 2015-2016,Section:801,Class number:22338,Meeting time:Th5:45PM-9:00PM,Location:CDM 00202atLoop Campus,Rosalee Wolfe,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=946,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22338&fid=298179
ECT 587,Winter 2015-2016,Section:810,Class number:22339,Meeting time:-,Location:N/AatOnline Campus,Rosalee Wolfe,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=946,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22339&fid=298179
ECT 587,Winter 2014-2015,Section:801,Class number:20065,Meeting time:Th5:45PM-9:00PM,Location:CDM 00230atLoop Campus,Rosalee Wolfe,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=946,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20065&fid=298179
ECT 587,Winter 2014-2015,Section:810,Class number:20066,Meeting time:-,Location:N/AatOnline Campus,Rosalee Wolfe,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=946,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20066&fid=298179
